Food Name,Protein (g),Fat (g),Fiber (g),Carbs (g),Calories (kcal)
Sapota (Achras sapota),0.92,1.26,9.6,13.9,307.0
"Snake gourd, short (Trichosanthes anguina)",0.54,0.26,2.29,2.15,61.0
Soursop (Annona muricata),0.74,0.94,4.95,11.94,260.0
"Soybean, brown (Glycine max)",35.58,19.82,21.55,12.79,381.45
"Soybean, white (Glycine max)",37.8,19.42,22.63,10.16,377.39
Spinach (Spinacia oleracea),2.14,0.64,2.38,2.05,102.0
Star fruit (Averrhoa carambola),0.79,0.39,2.81,4.51,110.0
Strawberry (Fragaria x aassa),0.97,0.56,2.5,3.4,103.0
Sunflower seeds (Helianthus annuus),23.53,51.85,10.8,6.85,586.28
"Sweet potato, brown skin (Ipomoea batatas)",1.33,0.26,3.99,24.25,456.0
"Sweet potato, pink skin (Ipomoea batatas)",1.27,0.33,3.94,23.93,452.0
"Tamarind leaves, tender (Tamarindus indica)",5.84,0.49,10.7,10.04,299.0
"Tamarind, pulp (Tamarindus indica)",2.92,0.15,5.31,67.35,288.48
Tapioca (Manihot esculenta),1.03,0.2,4.61,17.81,334.0
"Tinda, tender (Praecitrullus fistulosus)",1.02,0.17,2.0,1.9,58.0
"Tomato, ripe, local (Lycopersicon esculentum)",0.9,0.47,1.77,2.71,82.0
Turmeric powder (Curcuma domestica),7.66,5.03,21.38,49.22,280.59
Varagu (Paspalum scrobiculatum),8.92,2.55,6.39,66.19,331.74
Walnut (Juglans regia),14.92,64.27,5.39,10.14,671.37
"Wheat flour, atta (Triticum aestivum)",10.57,1.53,11.36,64.17,320.27
"Wheat flour, refined (Triticum aestivum)",10.36,0.76,2.76,74.27,351.82
"Wheat, bulgur (Triticum aestivum)",10.84,1.45,8.81,69.06,341.78
"Wheat, semolina (Triticum aestivum)",11.38,0.74,9.72,68.43,333.65
"Wheat, vermicelli (Triticum aestivum)",9.7,0.45,9.28,70.39,332.7
"Wheat, vermicelli, roasted (Triticum aestivum)",10.37,0.49,9.55,71.42,340.11
"Wheat, whole (Triticum aestivum)",10.59,1.47,11.23,64.72,321.94
Wood Apple (Limonia acidissima),3.14,3.62,5.21,7.52,327.0
"Yam, elephant (Amorphophallus campanulatus)",2.56,0.14,4.17,17.46,353.0
"Zucchini, green (Cucurbita pepo)",1.1,0.51,2.3,2.33,84.0
"Zucchini, yellow (Cucurbita pepo)",1.31,0.44,1.84,2.2,79.0
